223,[  0. 133. 156.]
224,[  0. 133. 158.]
225,[  0. 132. 159.]
226,[  0. 132. 160.]
227,[  0. 132. 162.]
228,[  0. 132. 163.]
229,[  0. 131. 164.]
230,[  0. 131. 165.]
231,[  0. 131. 166.]
232,[  6. 130. 167.]
233,[ 12. 130. 168.]
234,[ 18. 130. 169.]
235,[ 22. 129. 170.]
236,[ 26. 129. 171.]
237,[ 30. 129. 172.]
238,[ 34. 128. 173.]
239,[ 37. 128. 174.]
240,[ 40. 128. 175.]
241,[ 43. 127. 176.]
242,[ 46. 127. 177.]
243,[ 49. 126. 178.]
244,[ 52. 126. 179.]
245,[ 55. 126. 179.]
246,[ 58. 125. 180.]
247,[ 60. 125. 181.]
248,[ 63. 124. 181.]
249,[ 66. 124. 182.]
250,[ 68. 123. 183.]
251,[ 71. 123. 183.]
252,[ 74. 122. 184.]
253,[ 76. 122. 184.]
254,[ 79. 121. 185.]
255,[ 81. 121. 185.]
256,[ 84. 120. 186.]
257,[ 86. 120. 186.]
258,[ 89. 119. 187.]
259,[ 91. 119. 187.]
260,[ 93. 118. 187.]
261,[ 96. 117. 188.]
262,[ 98. 117. 188.]
263,[101. 116. 188.]
264,[103. 116. 188.]
265,[105. 115. 188.]
266,[108. 114. 189.]
267,[110. 114. 189.]
268,[112. 113. 189.]
269,[115. 112. 189.]
270,[117. 111. 189.]
271,[119. 111. 189.]
272,[122. 110. 189.]
273,[124. 109. 189.]
274,[126. 108. 188.]
275,[128. 108. 188.]
276,[130. 107. 188.]
277,[133. 106. 188.]
278,[135. 105. 188.]
279,[137. 104. 187.]
280,[139. 104. 187.]
281,[141. 103. 187.]
282,[143. 102. 186.]
283,[145. 101. 186.]
284,[148. 100. 186.]
285,[150.  99. 185.]
286,[152.  98. 185.]
287,[154.  97. 184.]
288,[156.  96. 184.]
289,[158.  95. 183.]
290,[160.  94. 182.]
291,[162.  93. 182.]
292,[164.  92. 181.]
293,[165.  91. 180.]
294,[167.  90. 180.]
295,[169.  89. 179.]
296,[171.  88. 178.]
297,[173.  87. 177.]
298,[175.  86. 177.]
299,[177.  85. 176.]
300,[178.  84. 175.]
301,[180.  83. 174.]
302,[182.  81. 173.]
303,[184.  80. 172.]
304,[185.  79. 171.]
305,[187.  78. 170.]
306,[189.  77. 169.]
307,[190.  75. 168.]
308,[192.  74. 167.]
309,[194.  73. 166.]
310,[195.  72. 165.]
311,[197.  70. 163.]
312,[198.  69. 162.]
313,[200.  68. 161.]
314,[201.  66. 160.]
315,[203.  65. 159.]
316,[204.  64. 157.]
317,[205.  62. 156.]
318,[207.  61. 155.]
319,[208.  59. 154.]
320,[209.  58. 152.]
321,[211.  56. 151.]
322,[212.  55. 150.]
323,[213.  53. 148.]
324,[214.  52. 147.]
325,[216.  50. 145.]
326,[217.  49. 144.]
327,[218.  47. 143.]
328,[219.  45. 141.]
329,[220.  44. 140.]
330,[221.  42. 138.]
331,[222.  40. 137.]
332,[223.  39. 135.]
333,[224.  37. 134.]
334,[225.  35. 132.]
335,[226.  33. 130.]
336,[227.  31. 129.]
337,[228.  29. 127.]
338,[229.  27. 126.]
339,[229.  25. 124.]
340,[230.  23. 123.]
341,[231.  21. 121.]
342,[232.  19. 119.]
343,[232.  16. 118.]
344,[233.  13. 116.]
345,[234.  11. 115.]
346,[234.   7. 113.]
347,[235.   5. 111.]
348,[235.   2. 110.]
349,[236.   0. 108.]
350,[237.   0. 106.]
351,[237.   0. 105.]
352,[237.   0. 103.]
353,[238.   0. 101.]
354,[238.   0. 100.]
355,[239.   0.  98.]
356,[239.   0.  96.]
357,[239.   0.  94.]
358,[239.   0.  93.]
359,[240.   0.  91.]
