0,[240.   0.  89.]
1,[240.   0.  88.]
2,[240.   0.  86.]
3,[240.   0.  84.]
4,[241.   0.  83.]
5,[241.   0.  81.]
6,[241.   0.  79.]
7,[241.   0.  77.]
8,[241.   0.  76.]
9,[241.   0.  74.]
10,[241.   0.  72.]
11,[241.   0.  71.]
12,[240.   0.  69.]
13,[240.   0.  67.]
14,[240.   0.  65.]
15,[240.   0.  64.]
16,[240.   3.  62.]
17,[240.   6.  60.]
18,[239.   9.  59.]
19,[239.  12.  57.]
20,[239.  14.  55.]
21,[238.  17.  53.]
22,[238.  19.  52.]
23,[238.  21.  50.]
24,[237.  24.  48.]
25,[237.  26.  46.]
26,[236.  28.  44.]
27,[236.  30.  43.]
28,[235.  32.  41.]
29,[235.  33.  39.]
30,[234.  35.  37.]
31,[234.  37.  35.]
32,[233.  39.  33.]
33,[233.  40.  31.]
34,[232.  42.  29.]
35,[231.  44.  27.]
36,[231.  45.  24.]
37,[230.  47.  22.]
38,[229.  48.  20.]
39,[229.  50.  17.]
40,[228.  51.  14.]
41,[227.  53.  11.]
42,[226.  54.   7.]
43,[226.  56.   4.]
44,[225.  57.   0.]
45,[224.  59.   0.]
46,[223.  60.   0.]
47,[222.  61.   0.]
48,[221.  63.   0.]
49,[220.  64.   0.]
50,[219.  65.   0.]
51,[218.  67.   0.]
52,[217.  68.   0.]
53,[217.  69.   0.]
54,[216.  70.   0.]
55,[215.  72.   0.]
56,[213.  73.   0.]
57,[212.  74.   0.]
58,[211.  75.   0.]
59,[210.  76.   0.]
60,[209.  78.   0.]
61,[208.  79.   0.]
62,[207.  80.   0.]
63,[206.  81.   0.]
64,[205.  82.   0.]
65,[204.  83.   0.]
66,[203.  84.   0.]
67,[201.  85.   0.]
68,[200.  86.   0.]
69,[199.  87.   0.]
70,[198.  88.   0.]
71,[197.  89.   0.]
72,[195.  90.   0.]
73,[194.  91.   0.]
74,[193.  92.   0.]
75,[192.  93.   0.]
76,[190.  94.   0.]
77,[189.  95.   0.]
78,[188.  96.   0.]
79,[187.  97.   0.]
80,[185.  98.   0.]
81,[184.  99.   0.]
82,[183. 100.   0.]
83,[181. 100.   0.]
84,[180. 101.   0.]
85,[179. 102.   0.]
86,[177. 103.   0.]
87,[176. 104.   0.]
88,[175. 104.   0.]
89,[173. 105.   0.]
90,[172. 106.   0.]
91,[171. 107.   0.]
92,[169. 107.   0.]
93,[168. 108.   0.]
94,[166. 109.   0.]
95,[165. 110.   0.]
96,[164. 110.   0.]
97,[162. 111.   0.]
98,[161. 112.   0.]
99,[160. 112.   0.]
100,[158. 113.   0.]
101,[157. 113.   0.]
102,[155. 114.   0.]
103,[154. 115.   0.]
104,[152. 115.   0.]
105,[151. 116.   0.]
106,[150. 117.   0.]
107,[148. 117.   0.]
108,[147. 118.   0.]
109,[145. 118.   0.]
110,[144. 119.   0.]
111,[143. 119.   0.]
112,[141. 120.   0.]
113,[140. 120.   0.]
114,[138. 121.   0.]
115,[137. 121.   0.]
116,[135. 122.   0.]
117,[134. 122.   0.]
118,[133. 123.   0.]
119,[131. 123.   0.]
120,[130. 124.   0.]
121,[128. 124.   0.]
122,[127. 124.   0.]
123,[125. 125.   0.]
124,[124. 125.   0.]
125,[123. 126.   0.]
126,[121. 126.   0.]
127,[120. 126.   0.]
128,[118. 127.   0.]
129,[117. 127.   0.]
130,[116. 128.   0.]
131,[114. 128.   0.]
132,[113. 128.   0.]
133,[111. 129.   0.]
134,[110. 129.   0.]
135,[109. 129.   0.]
136,[107. 129.   0.]
137,[106. 130.   0.]
138,[104. 130.   0.]
139,[103. 130.   0.]
140,[102. 131.   0.]
141,[100. 131.   0.]
142,[ 99. 131.   0.]
143,[ 97. 131.   0.]
144,[ 96. 132.   1.]
145,[ 94. 132.   6.]
146,[ 93. 132.  10.]
147,[ 92. 132.  14.]
148,[ 90. 133.  18.]
149,[ 89. 133.  21.]
150,[ 87. 133.  24.]
